lat,lon,FD,ID,RR1,TN,TX
-44.75,-68.25,0.0,0.0,1.0,284.95746,301.71075
-44.75,-67.75,0.0,0.0,0.0,285.8607,302.06998
-44.75,-67.25,0.0,0.0,0.0,286.51923,302.22995
-44.75,-66.75,0.0,0.0,0.0,285.99863,301.26865
-44.75,-66.25,0.0,0.0,0.0,285.84897,300.4396
-44.75,-65.75,0.0,0.0,1.0,286.25375,300.07227
-44.75,167.25,1.0,0.0,8.0,277.18475,289.11142
-44.75,167.75,1.0,0.0,8.0,276.6065,285.03784
-44.75,168.25,1.0,0.0,7.0,277.37637,287.36893
-44.75,168.75,1.0,0.0,7.0,276.84357,288.28113
-44.75,169.25,0.0,0.0,6.0,279.68744,293.07538
-44.75,169.75,2.0,0.0,5.0,277.678,293.40573
